Frame,Time_Seconds,CGY,ID
1,0.02,669.996826,4014
2,0.04,668.530334,4014
3,0.06,665.914917,4014
4,0.08,662.632141,4014
5,0.1,658.744202,4014
6,0.12,653.940613,4014
7,0.14,647.229736,4014
8,0.16,638.009766,4014
9,0.18,625.838013,4014
10,0.2,611.893738,4014
11,0.22,596.174133,4014
12,0.24,583.361572,4014
13,0.26,566.079041,4014
14,0.28,547.711365,4014
15,0.3,531.254944,4014
16,0.32,515.913452,4014
17,0.34,502.64209,4014
18,0.36,498.082214,4014
19,0.38,496.40506,4014
20,0.4,498.810974,4014
21,0.42,506.681183,4014
22,0.44,516.92334,4014
23,0.46,529.349487,4014
24,0.48,546.850891,4014
25,0.5,561.794434,4014
26,0.52,579.595032,4014
27,0.54,591.579163,4014
28,0.56,614.093506,4014
29,0.58,636.493774,4014
30,0.6,656.576904,4014
31,0.62,674.822876,4014
32,0.64,686.139465,4014
33,0.66,695.757751,4014
34,0.68,698.164612,4014
35,0.7,695.067017,4014
36,0.72,688.686096,4014
37,0.74,681.097046,4014
38,0.76,670.394165,4014
39,0.78,655.290833,4014
40,0.8,636.914551,4014
41,0.82,613.524292,4014
42,0.84,583.904175,4014
43,0.86,554.975159,4014
44,0.88,530.031311,4014
45,0.9,514.911621,4014
46,0.92,507.781464,4014
47,0.94,506.011536,4014
48,0.96,506.326447,4014
49,0.98,508.760315,4014
50,1,512.659668,4014
51,1.02,518.202698,4014
52,1.04,524.798401,4014
53,1.06,532.806702,4014
54,1.08,543.613098,4014
55,1.1,554.654541,4014
56,1.12,565.47876,4014
57,1.14,574.836853,4014
58,1.16,584.181335,4014
59,1.18,592.850769,4014
60,1.2,600.292603,4014
61,1.22,607.176086,4014
62,1.24,612.534424,4014
63,1.26,618.150696,4014
64,1.28,621.955811,4014
65,1.3,626.477478,4014
66,1.32,629.126038,4014
67,1.34,631.539673,4014
68,1.36,633.140747,4014
69,1.38,633.542725,4014
70,1.4,634.006775,4014
71,1.42,634.674744,4014
72,1.44,635.263916,4014
73,1.46,635.386169,4014
74,1.48,635.574341,4014
75,1.5,635.788391,4014
76,1.52,635.842957,4014
77,1.54,636.03772,4014
78,1.56,636.500977,4014
79,1.58,637.973206,4014
80,1.6,638.810669,4014
81,1.62,640.074463,4014
82,1.64,641.463074,4014
83,1.66,642.578369,4014
84,1.68,643.354065,4014
85,1.7,643.813965,4014
86,1.72,644.238525,4014
87,1.74,644.3927,4014
